,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.080172226,3.3873825,3.4846456,0.0,0.94942963,0.033009477,1.5578738,0.0,3.9079719,2.9223244,1.165411,2.4990535,1.2775016,2.8853488,1.4755905,0.0,5.440074,2.2415037,0.0,1.6277186
1,0.8964776,0.0,7.373949,0.0,0.0,0.0,1.0227741,0.0,4.06818,3.777574,0.26582497,1.2535148,0.317211,0.55524904,0.28696084,0.0,3.174339,0.8167171,0.0,1.8099668
2,0.0,4.531866,3.5343156,0.0,1.2401832,0.11086955,2.0056841,0.0,4.334197,3.1428738,1.4932015,2.9380145,1.6914891,3.565302,1.9655814,0.0,6.493246,2.8641205,0.0,1.9148817
3,0.1225717,3.0184383,4.199189,0.0,0.8854844,0.0,1.1263577,0.0,4.6613736,3.8073268,1.102457,2.986138,0.99776924,3.091785,1.1277626,0.0,6.046137,1.9248579,0.0,1.4882874
4,0.39053866,0.79510164,5.411865,0.0,0.31138673,0.0,0.19411147,0.0,4.8021607,4.4396195,0.5534161,2.7000318,0.16272157,2.1128836,0.12971771,0.0,5.0220766,0.72761214,0.0,1.0710555
5,0.08724047,2.8910818,4.243495,0.0,0.901592,0.0,0.6185696,0.0,5.0900397,4.3680973,1.070982,3.4361925,0.7303385,3.3081279,0.80386746,0.0,6.4906135,1.5486562,0.0,1.1410686
6,0.073016174,2.845872,4.1496763,0.0,0.8906216,0.0,0.56483114,0.0,5.0291805,4.3280807,1.0573738,3.405887,0.70392895,3.2786872,0.77472377,0.0,6.4179935,1.4996724,0.0,1.0942361
7,0.04751596,3.1852546,4.4442167,0.0,1.0178041,0.0,0.50520396,0.0,5.6871643,4.8782377,1.1576407,3.8948383,0.7234853,3.7598233,0.77396846,0.0,7.2044044,1.6385701,0.0,1.1488298
8,0.036730856,3.135857,4.3578687,0.0,1.0052072,0.0,0.46107686,0.0,5.62159,4.83288,1.1448666,3.8585386,0.7017535,3.7255363,0.7494931,0.0,7.1250653,1.595257,0.0,1.1091594
9,0.8525785,0.0,7.151085,0.0,0.0,0.0008978471,1.0429673,0.0,4.0140214,3.708284,0.29926038,1.2810075,0.35017595,0.64510024,0.34289378,0.0,3.2284632,0.86406887,0.0,1.7785668
10,0.8085271,0.0,6.427571,0.0,0.0,0.039432943,0.982128,0.0,3.4150064,3.1338313,0.22163895,0.93453336,0.30925232,0.35854125,0.30131307,0.0,2.5621843,0.7492304,0.0,1.6225355
11,0.697256,0.24360488,6.8714466,0.0,0.056282908,0.0,1.0214983,0.0,4.49919,4.1066723,0.5208328,1.9383686,0.4653233,1.3803036,0.49110767,0.0,4.3085685,1.0975491,0.0,1.7527333
12,0.07101534,4.8245,3.252696,0.0,1.2104121,0.5278696,2.9836187,0.0,3.3148863,1.9118087,1.5714233,2.031128,2.2087822,3.0278003,2.585969,0.0,5.5107155,3.4929757,0.0,2.4878488
13,0.23303129,5.093116,4.4331617,0.0,1.2278886,0.7698388,3.7890418,0.0,3.644081,2.0778604,1.7421603,1.9492532,2.6126304,3.0542936,3.046908,0.0,5.8256474,4.082214,0.0,3.1130986
14,0.23303129,5.093116,4.4331617,0.0,1.2278886,0.7698388,3.7890418,0.0,3.644081,2.0778604,1.7421603,1.9492532,2.6126304,3.0542936,3.046908,0.0,5.8256474,4.082214,0.0,3.1130986
15,0.29985055,3.6646686,3.3294227,0.0,0.7622694,0.94712746,3.596432,0.0,1.6647267,0.42045203,1.2837316,0.44223708,2.3235698,1.5152612,2.755478,0.0,3.1645043,3.4411922,0.107525885,2.7469616
